#{"t_start": 1675347725.9576583, "env_id": "pushing-turtle-v0"}
r,l,t
-3.0,39,2.547945
-20.0,51,3.151625
5.0,38,3.603432
-8.0,42,4.052882
-10.0,45,4.515902
5.0,32,4.847504
2.0,34,5.196198
0.0,40,5.613627
-14.0,40,5.997856
-3.0,35,6.336783
-9.0,41,6.790303
1.0,37,7.155964
17.0,52,7.6774
4.0,44,8.155028
-6.0,36,8.543179
-2.0,42,8.985721
10.0,51,9.549436
2.0,36,9.92977
2.0,37,10.307898
-8.0,36,10.686616
4.0,29,10.99612
2.0,45,11.450711
-7.0,31,11.781166
-5.0,42,12.207948
7.0,26,12.470171
-14.0,38,16.074714
-5.0,36,16.442041
4.0,35,16.788827
-1.0,37,17.154021
17.0,50,17.670842
8.0,31,17.990499
2.0,40,18.397724
-1.0,33,18.745561
3.0,47,19.235089
5.0,55,19.872909
0.0,43,20.359681
3.0,34,20.725314
0.0,37,21.116353
2.0,33,21.44592
0.0,49,21.938969
12.0,56,22.531229
15.0,48,23.020864
0.0,43,23.457422
7.0,33,23.788967
-12.0,36,24.143392
-2.0,32,24.468763
0.0,34,24.802939
2.0,47,25.283356
5.0,37,25.656097
7.0,47,26.107073
2.0,41,29.812646
-10.0,36,208.011999
-3.0,40,208.428354
5.0,41,208.840319
-2.0,62,209.457784
-6.0,34,209.813305
-1.0,46,210.295021
16.0,46,210.782692
10.0,43,211.258065
-6.0,50,211.791515
4.0,32,212.128828
8.0,38,212.552648
-3.0,44,213.050953
-14.0,44,213.527181
-3.0,41,213.950237
-16.0,42,214.389271
9.0,42,214.828892
3.0,46,215.314334
1.0,36,215.684574
3.0,55,216.290052
-2.0,50,216.840504
0.0,38,217.251293
9.0,31,217.584372
1.0,36,221.313335
15.0,45,221.882726
5.0,45,222.361833
5.0,51,222.954327
6.0,31,223.301291
-3.0,35,223.678378
5.0,47,224.249994
-2.0,46,224.763968
-8.0,36,225.147631
14.0,37,225.547949
9.0,40,225.983531
4.0,38,226.39087
0.0,39,226.822615
-4.0,50,227.377825
10.0,34,227.752111
5.0,32,228.084557
-6.0,32,228.418955
15.0,29,228.735474
-11.0,32,229.05856
7.0,49,229.558502
-20.0,47,230.073979
6.0,42,230.517432
0.0,30,230.833788
10.0,45,231.314604
-9.0,35,231.693851
-4.0,43,232.14472
2.0,36,235.884642
0.0,47,236.423191
0.0,42,423.533039
0.0,36,424.017993
-2.0,38,424.483582
8.0,46,425.044193
4.0,35,425.461601
3.0,37,425.894535
-3.0,45,426.426636
10.0,40,426.885349
-1.0,53,427.583254
2.0,51,428.252328
5.0,35,428.657716
17.0,40,429.116578
18.0,34,429.506947
