#{"t_start": 1674037016.4917333, "env_id": "sokoban-turtle-v0"}
r,l,t
-12.0,52,2.899107
-4.0,46,3.996558
-2.0,51,20.263758
-13.0,54,94.183145
3.0,48,302.946194
-12.0,44,304.786226
-3.0,42,466.644886
-6.0,45,467.742227
-5.0,39,471.155205
-14.0,45,473.756474
2.0,45,474.267777
-8.0,39,474.610456
6.0,40,475.227792
-5.0,38,475.954388
-6.0,40,476.891442
-20.0,38,477.688333
-4.0,45,505.112594
-1.0,46,626.728317
-9.0,36,645.911857
-4.0,59,646.783769
-1.0,36,647.100715
-12.0,47,647.717094
4.0,49,652.743735
-14.0,52,654.287529
-20.0,33,654.736473
-20.0,47,655.449001
-5.0,46,655.962101
-2.0,39,710.684047
-16.0,56,711.808501
-7.0,41,727.704871
-6.0,36,736.025347
5.0,43,766.689426
-8.0,39,781.844559
8.0,34,782.35643
-6.0,46,782.867238
-16.0,36,783.45333
3.0,45,783.945114
-22.0,48,784.73631
-4.0,43,785.19485
-14.0,42,790.15893
4.0,38,820.716665
-30.0,45,919.794178
-3.0,45,920.562355
-26.0,53,921.416069
-7.0,44,921.816076
-6.0,45,922.322675
12.0,42,1154.829954
7.0,45,1155.237847
-6.0,47,1155.884131
-2.0,34,1158.205175
-7.0,45,1159.337118
-22.0,36,1160.035077
-2.0,42,1160.664901
7.0,40,1161.295846
-9.0,48,1170.907136
4.0,62,1171.906144
0.0,47,1172.678233
9.0,41,1178.195697
-2.0,42,1212.41474
-2.0,50,1242.486191
-6.0,35,1274.896118
0.0,36,1288.412921
11.0,43,1289.234467
-10.0,42,1289.798573
0.0,43,1290.356976
5.0,41,1301.478267
2.0,55,1301.938288
0.0,38,1302.264078
14.0,37,1307.156637
18.0,57,1332.709519
-15.0,38,1333.214554
6.0,64,1334.282265
6.0,41,1334.655754
7.0,44,1335.209995
0.0,40,1335.72736
2.0,60,1336.845346
8.0,38,1337.394428
-1.0,50,1338.540416
-2.0,27,1342.327373
-6.0,46,1433.214609
2.0,45,1433.994129
-2.0,44,1434.589822
-18.0,46,1565.24068
-8.0,51,1566.928579
2.0,39,1573.086241
14.0,40,1573.988927
-1.0,37,1574.65134
-8.0,40,1654.529285
0.0,73,1794.679482
4.0,34,1795.561248
0.0,47,1800.74073
-5.0,45,2074.531298
6.0,33,2075.403437
-4.0,31,2313.191195
-2.0,39,2316.500609
2.0,32,2316.973371
0.0,40,2317.796499
0.0,49,2318.52531
1.0,40,2354.077679
13.0,51,2395.042652
0.0,45,2396.98126
0.0,44,2397.97663
-4.0,39,2399.500186
5.0,44,2400.067255
-4.0,45,2400.693414
-10.0,53,2401.345697
-3.0,51,2402.199075
2.0,62,2405.849472
0.0,47,2458.050008
-11.0,45,2458.9458
-10.0,41,2459.421464
-8.0,51,2460.704328
-4.0,49,2461.366338
0.0,33,2543.321329
2.0,42,2544.220939
-1.0,57,2545.303384
4.0,49,2545.733028
-11.0,35,2828.181286
-22.0,48,2828.85079
-5.0,49,2830.135548
10.0,38,2830.83102
2.0,30,2838.053366
5.0,41,2858.142105
0.0,38,2858.760502
5.0,38,2873.812144
5.0,36,2875.967737
-4.0,37,2877.034199
-4.0,40,2877.965285
-8.0,45,2900.075341
-6.0,46,2901.468119
9.0,47,2902.848965
5.0,41,2936.984011
-16.0,32,2979.262128
8.0,41,3036.905158
-6.0,35,3085.935886
-3.0,50,3087.158005
-2.0,35,3237.305556
-4.0,40,3264.57878
2.0,56,3265.33808
15.0,46,3265.815196
-9.0,40,3528.82413
0.0,66,3549.860237
11.0,35,3550.239834
3.0,45,3551.285028
5.0,46,3551.925464
4.0,46,3661.77809
-2.0,46,3754.610032
4.0,51,3836.150633
21.0,35,3837.192025
-10.0,39,3838.682644
6.0,47,3894.180789
18.0,47,3895.337808
11.0,35,3895.859665
18.0,45,3896.490215
7.0,33,3897.484515
-3.0,43,3936.759581
-5.0,38,3938.043547
6.0,54,3943.218514
14.0,43,3943.674732
12.0,67,3985.815295
16.0,47,3986.547249
0.0,46,3987.202989
-8.0,50,3988.178038
0.0,43,4031.394717
2.0,52,4064.652795
9.0,45,4065.654959
3.0,42,4066.454114
